Addr,Name,Len,Type,Description
0x038,NV_TOUCH_CAL_A,4,i,touch calibration coefficient
0x03D,NV_TOUCH_CAL_B,4,i,touch calibration coefficient
0x042,NV_TOUCH_CAL_C,4,i,touch calibration coefficient
0x047,NV_TOUCH_CAL_D,4,i,touch calibration coefficient
0x04C,NV_TOUCH_CAL_E,4,i,touch calibration coefficient
0x051,NV_TOUCH_CAL_F,4,i,touch calibration coefficient
0x056,NV_TOUCH_CAL_DIV,4,i,touch calibration normalization
0x05B,NV_DXMAX_N,1,i,n lost dx connections since NV_DXMAX_T
0x05D,NV_DE_TIMEFMT,1,i,DE: 0=info; 1=analog; 2=cal; 3=analog+day; 4=dig 12hr; 5=dig 24hr
0x05F,NV_DE_LAT,4,f,"DE latitude, degrees N"
0x064,NV_DE_LNG,4,f,"DE longitude, degrees E"
0x069,NV_PANE0ROTSET,4,i,PlotChoice bitmask of pane 0 rotation choices
0x06E,NV_PLOT_0,1,i,Pane 0 PlotChoice
0x070,NV_DX_LAT,4,f,"DX latitude, degrees N"
0x075,NV_DX_LNG,4,f,"DX longitude, degrees E"
0x07F,NV_CALL_FG,2,i,Call foreground color as RGB 565
0x082,NV_CALL_BG,2,i,Call background color as RGB 565 unless...
0x085,NV_CALL_RAINBOW,1,i,set if Call background is to be rainbow
0x087,NV_PSK_SHOWDIST,1,i,"Live spots shows max distance, else counts"
0x089,NV_UTC_OFFSET,4,i,"offset from UTC, seconds"
0x08E,NV_PLOT_1,1,i,Pane 1 PlotChoice
0x090,NV_PLOT_2,1,i,Pane 2 PlotChoice
0x094,NV_PLOT_3,1,i,Pane 3 PlotChoice
0x096,NV_RSS_ON,1,i,whether to display RSS
0x098,NV_BPWM_DIM,2,i,"dim PWM, 0..255"
0x09B,NV_PHOT_DIM,2,i,"photo r dim value, 0 .. 1023"
0x09E,NV_BPWM_BRIGHT,2,i,"bright PWM, 0..255"
0x0A1,NV_PHOT_BRIGHT,2,i,"photo r bright value, 0 .. 1023"
0x0A4,NV_LP,1,i,whether to show DE-DX long or short path info
0x0A6,NV_UNITS,1,i,"0: imperial, 1: metric 2: british"
0x0A8,NV_LKSCRN_ON,1,i,whether screen lock is on
0x0AA,NV_MAPPROJ,1,i,0: merc 1: azim 2: azim 1
0x0AE,NV_WIFI_SSID,32,s,WIFI SSID
0x0F0,NV_CALLSIGN,12,s,call
0x0FD,NV_SAT1NAME,9,s,satellite 1 name with underscore for each space
